Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Bockwinkel et al 2013;Taouzites taouzensis;;MB.C.22106.3.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Taouzites taouzensis - MB.C.22106.3.whorl3 - wh(4.5 mm) - Bockwinkel 2013;4,5
Bockwinkel et al 2013;Taouzites taouzensis;;MB.C.22106.3.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Taouzites taouzensis - MB.C.22106.3.whorl4 - wh(2.8 mm) - Bockwinkel 2013;2,8
Bockwinkel et al 2013;Taouzites taouzensis;;MB.C.22106.3.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Taouzites taouzensis - MB.C.22106.3.whorl5 - wh(1.7 mm) - Bockwinkel 2013;1,7
Bockwinkel et al 2013;Scaturites minutus;;MB.C.22136.5.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Scaturites minutus - MB.C.22136.5.whorl1 - wh(5.1mm) - Bockwinkel 2013;5,1
Bockwinkel et al 2013;Scaturites minutus;;MB.C.22136.5.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Scaturites minutus - MB.C.22136.5.whorl2 - wh(3.4 mm) - Bockwinkel 2013;3,4
Bockwinkel et al 2013;Scaturites minutus;;MB.C.22136.5.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Scaturites minutus - MB.C.22136.5.whorl3 - wh(2.2 mm) - Bockwinkel 2013;2,2
Bockwinkel et al 2013;Scaturites minutus;;MB.C.22136.5.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Scaturites minutus - MB.C.22136.5.whorl4 - wh(1.3 mm) - Bockwinkel 2013;1,3
Bockwinkel et al 2015 ;Extropharciceras serum;;MB.C.25105.1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras serum - MB.C.25105.1 - wh(16.5 mm) - Bockwinkel 2015;16,5
Bockwinkel et al 2015 ;Extropharciceras serum;;MB.C.25105.4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras serum - MB.C.25105.4 - wh(15.4 mm) - Bockwinkel 2015;15,4
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras gentile - MB.C.25107.1 - wh(12.0 mm) - Bockwinkel 2015;12
