Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Korn and Klug 2002;Agoniatites costulatus;;Fig.80E.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;D'Archiac and  De Verneuil 1842;Givetian;early Givetian;Bensaidites koeneni;Interval 6;Agoniatites costulatus - Fig.80.E.whorl4 - wh(10.7 mm) - Korn and Klug 2002;10,7
Korn and Klug 2002;Agoniatites costulatus;;Fig.80E.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;D'Archiac and  De Verneuil 1842;Givetian;early Givetian;Bensaidites koeneni;Interval 6;Agoniatites costulatus - Fig.80.E.whorl5 - wh(7.3 mm) - D. Korn;7,3
Korn and Klug 2002;Agoniatites costulatus;;Fig.80E.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;D'Archiac and  De Verneuil 1842;Givetian;early Givetian;Bensaidites koeneni;Interval 6;Agoniatites costulatus - Fig.80.E.whorl6 - wh(4.0 mm) - D. Korn;4
Korn and Klug 2002;Agoniatites costulatus;;Fig.80E.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;D'Archiac and  De Verneuil 1842;Givetian;early Givetian;Bensaidites koeneni;Interval 6;Agoniatites costulatus - Fig.80.E.whorl7 - wh(3.7 mm) - D. Korn;3,7
Korn and Klug 2002;Trevoneites assesi;;Fig.141.D;Goniatitida;Tornoceratina;Tornocerataceae;Parodoceratidae;Parodoceratinae;Trevoneites;Becker et House 1994;Goddertz 1987;Givetian;early Givetian;Bensaidites koeneni;Interval 6;Trevoneites assesi - Fig.141.D - wh(5.5 mm) - drawn from Korn and Klug;5,5
Korn and Klug 2002;Holzapfeloceras circumflexiferum;;Fig.128.I;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Sandberger and Sandberger 1852;Givetian;early Givetian;Bensaidites koeneni;Interval 6;Holzapfeloceras circumflexiferum - Fig.128.I - wh(15.5 mm) - drawn from Korn and Klug 2002;15,5
Korn and Klug 2002;Holzapfeloceras circumflexiferum;;Fig.129.F;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Sandberger and Sandberger 1852;Givetian;early Givetian;Bensaidites koeneni;Interval 6;Holzapfeloceras circumflexiferum - Fig.129.F - wh(8.8 mm) - drawn from Korn and Klug 2002;8,8
Korn and Klug 2002;Holzapfeloceras circumflexiferum;;Fig.128.I;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Sandberger and Sandberger 1852;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras circumflexiferum - Fig.128.I - wh(15.5 mm) - drawn from Korn and Klug 2002;15,5
Korn and Klug 2002;Holzapfeloceras circumflexiferum;;Fig.129.F;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Sandberger and Sandberger 1852;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras circumflexiferum - Fig.129.F - wh(8.8 mm) - drawn from Korn and Klug 2002;8,8
Korn and Klug 2002;Trevoneites assesi;;Fig.141.D;Goniatitida;Tornoceratina;Tornocerataceae;Parodoceratidae;Parodoceratinae;Trevoneites;Becker et House 1994;Goddertz 1987;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Trevoneites assesi - Fig.141.D - wh(5.5 mm) - drawn from Korn and Klug;5,5
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl1 - (wh 27.0 mm) - Korn and Klug 2002;27
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl2 - (wh 19.7 mm) - Korn and Klug 2002;19,7
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl3 - (wh 14.7 mm) - Korn and Klug 2002;14,7
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl4 - (wh 11.1 mm) - Korn and Klug 2002;11,1
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl5 - (wh 7.9 mm) - Korn and Klug 2002;7,9
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl6 - (wh 6.2 mm) - Korn and Klug 2002;6,2
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl7 - (wh 4.2 mm) - Korn and Klug 2002;4,2
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl1 - wh(21.0 mm) - Klug 2002;21
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl2 - wh(15.4 mm) - Klug 2002;15,4
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl3 - wh(11.8 mm) - Klug 2002;11,8
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl4 - wh(8.6 mm) - Klug 2002;8,6
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl5 - wh(6.6 mm) - Klug 2002;6,6
Klug 2002;Agoniatites expansus;;GPIT 1862-266;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Agoniatites expansus (vanuxemi) - GPIT 1849.266 (wh 5.0 mm) - Klug 2002;5
D. Korn;Agoniatites obliquus;;GPIT 1849.312;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;Whidborne 1890;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Agoniatites obliquus - GPIT 1849.312 - (wh 16.2 mm) - Klug 2002;16,2
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl1 (wh 14.9 mm) - Klug 2002;14,9
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl2 (wh 12.4 mm) - Klug 2002;12,4
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl3 (wh 9.2 mm) - Klug 2002;9,2
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl4 (wh 8.1 mm) - Klug 2002;8,1
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl5 (wh 6.3 mm) - Klug 2002;6,3
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras housei - GPIT 1871.311.whorl6 (wh 5.0 mm) - Klug 2002;5
D. Korn;Cabrieroceras crispiforme;;Cabrcris1 ;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras crispiforme - Cabrcris1 - (wh 22.3 mm) - D. Korn;22,3
D. Korn;Cabrieroceras crispiforme;;Cabrcris2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras crispiforme - Cabrcris2 - (wh 15.5 mm) - D. Korn;15,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras crispiforme - Cabrcris3 - (wh 10.9 mm) - D. Korn;10,9
D. Korn;Cabrieroceras crispiforme;;Cabrcris4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras crispiforme - Cabrcris4 - (wh 7.8 mm) - D. Korn;7,8
D. Korn;Cabrieroceras crispiforme;;Cabrcris5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras crispiforme - Cabrcris5 - (wh 5.5 mm) - D. Korn;5,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras crispiforme - Cabrcris6 - (wh 3.5 mm) - D. Korn;3,5
D. Korn;Cabrieroceras crispiforme;;Cabrcris7;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras crispiforme - Cabrcris7 - (wh 2.5 mm) - D. Korn;2,5
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl1 (wh 20.0 mm) - Korn and Klug 2002;20
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl2 (wh 14.2 mm) - Korn and Klug 2002;14,2
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl3 (wh 11.7 mm) - Korn and Klug 2002;11,7
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl4 (wh 9.0 mm) - Korn and Klug 2002;9
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl5 (wh 8.2 mm) - Korn and Klug 2002;8,2
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl6 (wh 6.2 mm) - Korn and Klug 2002;6,2
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl7 (wh 4.7 mm) - Korn and Klug 2002;4,7
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Cabrieroceras plebeiforme - Fig.126A.whorl8 (wh 3.7 mm) - Korn and Klug 2002;3,7
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Fidelites bicanaliculatus - Fideclar1 - (wh 31.8 mm) - D. Korn;31,8
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Fidelites bicanaliculatus - Fideclar2 - (wh 22.9 mm) - D. Korn;22,9
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Fidelites bicanaliculatus - Fideclar3 - (wh 14.0 mm) - D. Korn;14
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Fidelites bicanaliculatus - Fideclar4 - (wh 8.6 mm) - D. Korn;8,6
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Fidelites bicanaliculatus - Fideclar5 - (wh 5.4 mm) - D. Korn;5,4
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Fidelites bicanaliculatus - Fideclar6 - (wh 3.2 mm) - D. Korn;3,2
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Fidelites bicanaliculatus - Fideclar7 - (wh 2.0 mm) - D. Korn;2
Klug 2002;Pseudofidelites bockwinkeli;;GPIT 1849-290;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Pseudofidelites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Pseudofidelites bockwinkeli - Fig.81.J - wh(6.0 mm) - drawn from Korn and Klug 2002;6
D. Korn;Wedekindella clarkei;;Wedeclar1;Goniatitida;Tornoceratina;Tornocerataceae;Parodoceratidae;Wedekindellinae;Wedekindella;Schindewolf 1928;Holzapfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Wedekindella clarkei - WS - Wedeclar1 - (wh XX mm) - D. Korn;XX
D. Korn;Holzapfeloceras convolutum aff;aff;Holzconv1 ;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras convolutum - Holzconv1 - (wh 16.7 mm) - D. Korn;16,7
D. Korn;Holzapfeloceras convolutum aff;aff;Holzconv2;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras convolutum - Holzconv2 - (wh 13.0 mm) - D. Korn;13
D. Korn;Holzapfeloceras convolutum aff;aff;Holzconv3;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras convolutum - Holzconv3 - (wh 8.9 mm) - D. Korn;8,9
D. Korn;Holzapfeloceras convolutum aff;aff;Holzconv4;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras convolutum - Holzconv4 - (wh 7.8 mm) - D. Korn;7,8
D. Korn;Holzapfeloceras convolutum aff;aff;Holzconv5;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras convolutum - Holzconv5 - (wh 5.5 mm) - D. Korn;5,5
D. Korn;Holzapfeloceras convolutum aff;aff;Holzconv6;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras convolutum - Holzconv6 - (wh 4.6 mm) - D. Korn;4,6
D. Korn;Holzapfeloceras convolutum aff;aff;Holzconv7;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Apfel 1895;Eifelian;late Eifelian;Holzapfeloceras circumflexiferum;Interval 5;Holzapfeloceras convolutum - Holzconv7 - (wh 3.2 mm) - D. Korn;3,2
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl1 - (wh 27.0 mm) - Korn and Klug 2002;27
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl2 - (wh 19.7 mm) - Korn and Klug 2002;19,7
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl3 - (wh 14.7 mm) - Korn and Klug 2002;14,7
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl4 - (wh 11.1 mm) - Korn and Klug 2002;11,1
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl5 - (wh 7.9 mm) - Korn and Klug 2002;7,9
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl6 - (wh 6.2 mm) - Korn and Klug 2002;6,2
D. Korn;Subanarcestes macrocephalus;;Fig.127A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes macrocephalus - Fig.127A.whorl7 - (wh 4.2 mm) - Korn and Klug 2002;4,2
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl1 - wh(21.0 mm) - Klug 2002;21
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl2 - wh(15.4 mm) - Klug 2002;15,4
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl3 - wh(11.8 mm) - Klug 2002;11,8
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl4 - wh(8.6 mm) - Klug 2002;8,6
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;Subanarcestes coronatus - GPIT 1862.284.whorl5 - wh(6.6 mm) - Klug 2002;6,6
