"","SOV","SOV_upCI","SOV_loCI","SOR","SOR_upCI","SOR_loCI","Centroid_dist","upCI_cdist","loCI_cdist","Pairwise_dist","upCI_mID","loCI_mID","CH_Area_biozones","upCI_CHA_biozones","loCI_CHA_biozones","Position","upCI","loCI"
"Cabrieroceras crispiforme",5.43182188445459,6.34178918011848,4.32989044328822,17.498998394331,17.4810007602023,14.786832510342,3.86984390516379,4.35494114872838,3.28514835907482,2.54295908366096,2.68733802957245,2.32898808463541,16.9824259472135,16.8904676400831,13.4319030873391,0.586571255254523,0.825286247617122,0.480898659528018
"Cabrieroceras housei",5.82382695043311,6.79803586430292,4.80191155256866,17.8946103310435,17.8766126969148,15.3233245458696,3.86204351300103,4.3453519738213,3.32878672771133,2.54926618222509,2.69015898262161,2.3519290609009,17.3530811878014,17.2247525490431,14.4235531352686,0.36654737135378,0.653525652286313,0.282290704631683
"Agoniatites expansus",3.85865943212096,4.56659108166413,3.07517420863805,15.9334995421744,15.8881946276048,13.3490852429122,3.89272666282322,4.39984668108539,3.23656885707675,2.56973714857308,2.70794710714644,2.31901848886865,16.2266322207249,16.0864168611847,11.6028048415328,0.960525466085454,1.31248691325222,0.650036182794422
"Parodiceras magnosellaris",3.60365188751353,4.19424208136007,2.91647479836843,16.0376866003668,16.0205536020982,13.5760016871165,3.48329768489314,4.00418351335686,2.92537012073125,2.42815440545976,2.58640223198576,2.21188871848209,17.4170227099075,17.1946799717383,12.5141830567535,0.942837235274897,1.2057086901382,0.705417479475349
"Agoniatites obliquus",4.26162210739432,4.93477055653476,3.46557522889258,15.0040193269268,14.956552017544,13.2285742033367,3.41843694714129,3.94306473663615,2.74975077944684,2.40513330374144,2.55935144581572,2.13991226693098,16.6231645107984,16.4726719309048,12.0659286659088,0.905779206182591,1.28553929216031,0.588264840053545
"Holzapfeloceras circumflexiferum",4.56055400235925,5.21868835628603,3.80941063294454,14.9010691775092,14.9010691775092,13.1098358811288,3.51210213012194,4.0518045996505,2.84950963379438,2.44937147223249,2.60331155111307,2.18941839160249,16.9878279111421,16.7869329269638,12.1747568591739,0.84010321316456,1.21592619326056,0.535762483251154
"Bensaidites koeneni",3.44636964414628,4.05010212944625,1.95145400157085,9.58972658305063,9.58972658305063,7.52792514611556,2.05776511602285,2.53889285678339,0.923707596347825,1.8524478648755,2.0263465287278,1.1540275154125,6.50354285735381,6.50354285735381,2.99811823891802,1.34019086875742,1.95017797152883,0.916473103458233
"Sobolewia n sp",3.8624119142272,4.48251066265523,2.39163454927574,11.2629494840529,11.2629494840529,8.56163185391736,2.80581753916968,3.49744128505322,1.53716326834025,2.15565573084451,2.36887481055723,1.43626204560005,8.55027299784729,8.3662912874723,3.40843324510566,1.77710328095531,2.37454732079783,1.27229187531776
"Sellagoniatites waldschmidti",4.01128347326955,4.75348446997018,2.59083660969225,11.811759922131,11.811759922131,9.18971896921126,2.21729227297133,2.68798393630546,1.46365566871239,1.96050533801909,2.12562866208974,1.50500519748046,10.951256257361,10.9066378515215,6.20499200652542,1.5165017968164,2.04444830655254,1.13815488040075
"Afromaenioceras sulcatostriatum",4.20174155809499,4.97613460736826,3.21474181131488,15.7102590211906,15.7102590211906,10.8211038021645,2.68281873420971,3.29201877213752,2.00482747089028,2.13425577421033,2.33053761428311,1.81059387511545,14.5363075829027,14.5019247735002,9.67747864447277,0.795090833837394,1.22147390996108,0.456126712177077
"Afromaenioceras n sp",4.55637239229942,5.50411502627124,3.40443936693588,16.0626578099383,16.0626578099383,11.1945616126717,2.38952414463307,2.86475583468055,1.75167461893338,2.03307430343241,2.19685007234249,1.69790474306532,15.7310111422705,15.696628332868,10.1631662473034,0.6705189442957,1.17377235572589,0.355371818552893
"Pharciceras aff amplexum",4.48750670471949,5.36394923505039,3.35464784232863,15.081404414489,15.081404414489,10.4932828325363,2.2040945826575,2.68542185148946,1.58190599310579,1.9484620588762,2.12207157352335,1.61883394691738,14.0481658710935,14.0066727739103,9.17500463842171,0.864837088653939,1.38271076961026,0.457277137519677
