Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;14,7;12,2;7,1;12,8;4,4;2,5;0,87;0,48;1,45;2,91;0,43
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;65,1;51,2;30,9;37,2;20;13,9;0,57;0,47;1,62;1,86;0,31
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;51,2;42;25,8;28,8;14,2;9,2;0,56;0,5;1,49;2,03;0,35
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;42;34,3;21,5;25,6;11,7;7,7;0,61;0,51;1,5;2,19;0,34
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;34,3;28,3;17,3;20,9;9;6;0,61;0,5;1,47;2,32;0,33
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;28,3;22,6;14,2;18,3;8,2;5,7;0,65;0,5;1,57;2,23;0,3
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;22,6;18,7;12;15,5;6,2;3,9;0,69;0,53;1,46;2,5;0,37
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;18,7;15,5;10,2;12,9;4,7;3,2;0,69;0,55;1,46;2,74;0,32
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;15,5;13,1;8,5;11,1;3,7;2,4;0,72;0,55;1,4;3;0,35
Korn and Klug 2002;Fidelites bicanaliculatus;;Fig.80C.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;65,4;42,9;11,1;22,2;31,8;22,5;0,34;0,17;2,32;0,7;0,29
Korn and Klug 2002;Fidelites bicanaliculatus;;Fig.80C.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;42,9;26,6;6,3;17;22,9;16,3;0,4;0,15;2,6;0,74;0,29
Korn and Klug 2002;Fidelites bicanaliculatus;;Fig.80C.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;26,6;16,6;4,2;11,2;14;10;0,42;0,16;2,57;0,8;0,29
Korn and Klug 2002;Fidelites bicanaliculatus;;Fig.80C.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;16,6;10,5;2,8;8;8,6;6,1;0,48;0,17;2,5;0,93;0,29
Korn and Klug 2002;Fidelites bicanaliculatus;;Fig.80C.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;10,5;6,8;2;5,5;5,4;3,7;0,52;0,19;2,38;1,02;0,31
Korn and Klug 2002;Fidelites bicanaliculatus;;Fig.80C.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;6,8;4,7;1,4;3,8;3,2;2,1;0,56;0,21;2,09;1,19;0,34
Korn and Klug 2002;Fidelites bicanaliculatus;;Fig.80C.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;4,7;3,3;1;2,9;2;1,4;0,62;0,21;2,03;1,45;0,3
Korn and Klug 2002;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Holzapfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;34,4;26,5;5;17,3;16,7;7,9;0,5;0,15;1,69;1,04;0,52
Korn and Klug 2002;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Holzapfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;26,5;20,8;4,5;14,9;13;5,7;0,56;0,17;1,62;1,15;0,56
Korn and Klug 2002;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Holzapfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;20,8;16,9;4,1;11,3;8,9;3,9;0,54;0,2;1,51;1,26;0,57
Korn and Klug 2002;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Holzapfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;16,9;13,5;3,7;9,6;7,8;3,5;0,57;0,22;1,58;1,23;0,56
Korn and Klug 2002;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Holzapfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;13,5;10,7;3,4;7,1;5,5;2,7;0,53;0,25;1,57;1,3;0,5
Korn and Klug 2002;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Holzapfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;10,7;8,2;3;5,9;4,6;2,5;0,55;0,28;1,71;1,28;0,45
Korn and Klug 2002;Holzapfeloceras convolutum aff;aff;Fig.127B.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Sobolewiidae;Sobolewiinae;Holzapfeloceras;Miller 1932;Holzapfel 1895;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;8,2;6,7;2,8;4,3;3,2;1,5;0,52;0,34;1,48;1,33;0,54
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;66,7;48,8;10,4;25,4;33,4;17,9;0,38;0,16;1,87;0,76;0,46
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;48,8;37,7;10,2;21,9;23,3;11,1;0,45;0,21;1,68;0,94;0,52
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;37,7;29,6;9,9;18,1;15,4;8,1;0,48;0,26;1,62;1,18;0,47
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;29,6;22,9;9,1;15,2;12,2;6,7;0,51;0,31;1,67;1,25;0,45
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;22,9;18,2;8,5;13,4;8,6;4,7;0,59;0,37;1,58;1,56;0,45
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;18,2;15,4;7,3;11,2;6,2;2,8;0,62;0,4;1,4;1,81;0,55
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;15,4;12,4;6,3;9,9;5,1;3;0,64;0,41;1,54;1,94;0,41
Korn and Klug 2002;Diallagites lenticulifer;;Fig.123.D.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Diallagites;Klug 2002;Klug 2002;Eifelian;late Eifelian;Agoniatites obliquus;Interval 5;12,4;10,3;5,1;8,3;3,9;2,1;0,67;0,41;1,45;2,13;0,46
Korn and Klug 2002;Subanarcestes macrocephalus;;Fig.127A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;55,6;40,7;8,2;37,7;27;14,9;0,68;0,15;1,87;1,4;0,45
Korn and Klug 2002;Subanarcestes macrocephalus;;Fig.127A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;40,7;31,4;6,8;30,5;19,7;9,3;0,75;0,17;1,68;1,55;0,53
Korn and Klug 2002;Subanarcestes macrocephalus;;Fig.127A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;31,4;24,2;6;21,8;14,7;7,2;0,69;0,19;1,68;1,48;0,51
Korn and Klug 2002;Subanarcestes macrocephalus;;Fig.127A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;24,2;18,5;5;16,6;11,1;5,7;0,69;0,21;1,71;1,5;0,49
Korn and Klug 2002;Subanarcestes macrocephalus;;Fig.127A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;18,5;14,4;4,5;11,8;7,9;4,1;0,64;0,24;1,65;1,49;0,48
Korn and Klug 2002;Subanarcestes macrocephalus;;Fig.127A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;14,4;11;3,9;9,7;6,2;3,4;0,67;0,27;1,71;1,56;0,45
Korn and Klug 2002;Subanarcestes macrocephalus;;Fig.127A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Schindewolf 1933;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;11;8,8;3,5;7,2;4,2;2,2;0,65;0,32;1,56;1,71;0,48
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;47;35,6;10,4;31,8;21;11,4;0,68;0,22;1,74;1,51;0,46
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;35,6;27;8,8;26,3;15,4;8,6;0,74;0,25;1,74;1,71;0,44
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;27;21,1;6,9;20,4;11,8;5,9;0,76;0,26;1,64;1,73;0,5
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;21,1;16,4;5,6;15,4;8,6;4,7;0,73;0,27;1,66;1,79;0,45
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;16,4;12,7;4,7;11,9;6,6;3,7;0,73;0,29;1,67;1,8;0,44
Klug 2002;Subanarcestes coronatus;;GPIT 1862.284.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;12,7;10;4,1;9,2;5;2,7;0,72;0,32;1,61;1,84;0,46
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;27,8;21,9;9,6;19,1;10,1;5,9;0,69;0,35;1,61;1,89;0,42
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;21,9;17;7,8;16;8,1;4,9;0,73;0,36;1,66;1,98;0,4
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;17;13,7;6;12,5;6;3,3;0,74;0,35;1,54;2,08;0,45
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;13,7;10,5;4,5;9,8;5;3,2;0,72;0,33;1,7;1,96;0,36
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;10,5;8;3,3;8,3;4,2;2,5;0,79;0,31;1,72;1,97;0,41
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;8;6,3;2,6;6,4;3;1,7;0,8;0,33;1,61;2,11;0,44
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;6,3;4,9;2;5,3;2,4;1,4;0,84;0,32;1,65;2,18;0,42
Klug 2002;Subanarcestes marhoumensis;;GPIT 1862-69.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Subanarcestes;Schindewolf 1933;Goddertz 1987;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;5;3,9;1,5;4;1,9;1,1;0,8;0,3;1,64;2,11;0,42
Korn and Klug 2002;Agoniatites expansus;;Fig.84H;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Agoniatites;Meek 1877;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;17,5;11,5;6;8,6;6,8;6;0,49;0,34;2,32;1,26;0,12
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;59;47,9;31,6;28,1;14,9;11,1;0,48;0,54;1,52;1,89;0,26
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;47,9;38,9;26,2;26,9;12,4;9;0,56;0,55;1,52;2,17;0,27
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;38,9;32,3;21,6;22,4;9,2;6,6;0,58;0,56;1,45;2,43;0,28
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;32,3;26,5;17,9;19,4;8,1;5,8;0,6;0,55;1,49;2,4;0,28
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;26,5;21,8;15,2;16,4;6,3;4,7;0,62;0,57;1,48;2,6;0,25
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;21,8;18,3;12,8;14;5;3,5;0,64;0,59;1,42;2,8;0,3
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;18,3;15,6;10,6;12,2;4;2,7;0,67;0,58;1,38;3,05;0,33
Klug 2002;Cabrieroceras housei;;GPIT 1871-311.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Klug 2002;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;15,5;13,1;9;10,4;3,6;2,4;0,67;0,58;1,4;2,89;0,33
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;88,6;68,4;40,9;57,2;26,4;20,2;0,65;0,46;1,68;2,17;0,23
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;53,3;42,1;25,1;36,1;15,4;11,2;0,68;0,47;1,6;2,34;0,27
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;42,1;32,7;20,5;29,9;12,8;9,4;0,71;0,49;1,66;2,34;0,27
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;32,7;26,4;16,7;24,6;8,8;6,3;0,75;0,51;1,53;2,8;0,28
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;26,5;21,7;13,4;21,8;7,1;4,8;0,82;0,51;1,49;3,07;0,32
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;21,7;17,9;10,7;17,8;6;3,8;0,82;0,49;1,47;2,97;0,37
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;17,9;14,7;8,5;16,5;5;3,2;0,92;0,47;1,48;3,3;0,36
Klug 2002;Cabrieroceras crispiforme;;GPIT 1862-184.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Kayser 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;14,7;12,2;7,1;12,8;4,4;2,5;0,87;0,48;1,45;2,91;0,43
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;65,1;51,2;30,9;37,2;20;13,9;0,57;0,47;1,62;1,86;0,31
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;51,2;42;25,8;28,8;14,2;9,2;0,56;0,5;1,49;2,03;0,35
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;42;34,3;21,5;25,6;11,7;7,7;0,61;0,51;1,5;2,19;0,34
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;34,3;28,3;17,3;20,9;9;6;0,61;0,5;1,47;2,32;0,33
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;28,3;22,6;14,2;18,3;8,2;5,7;0,65;0,5;1,57;2,23;0,3
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;22,6;18,7;12;15,5;6,2;3,9;0,69;0,53;1,46;2,5;0,37
Korn and Klug 2002;Cabrieroceras plebeiforme;;Fig.126A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Cabrieroceratidae;Cabrieroceratinae;Cabrieroceras;Bogoslovsky 1961;Hall 1879;Eifelian;late Eifelian;Parodiceras magnosellaris;Interval 5;18,7;15,5;10,2;12,9;4,7;3,2;0,69;0,55;1,46;2,74;0,32
